#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
514943408 ; 0.0441812 ; 3.10173 ; 0 ; 0
515100408 ; 0.0403817 ; 3.10173 ; 0 ; 0
515353408 ; 0.0466798 ; 3.10188 ; 0 ; 0
515581408 ; 0.0401681 ; 3.10165 ; 0 ; 0
515772408 ; 0.041118 ; 3.10173 ; 0 ; 0
515991408 ; 0.0433839 ; 3.10234 ; 0 ; 0
516191408 ; 0.0442308 ; 3.10173 ; 0 ; 0
516383408 ; 0.0456384 ; 3.10158 ; 0 ; 0
516585408 ; 0.040397 ; 3.10455 ; 0 ; 0
516757408 ; 0.0443109 ; 3.10173 ; 0 ; 0
516935408 ; 0.039058 ; 3.10165 ; 0 ; 0
517154408 ; 0.0413888 ; 3.10188 ; 0 ; 0
517326408 ; 0.0426362 ; 3.10158 ; 0 ; 0
517515408 ; 0.0422128 ; 3.10173 ; 0 ; 0
517692408 ; 0.0454171 ; 3.10158 ; 0 ; 0
517888408 ; 10.0249 ; 3.10318 ; 0 ; 0
518127408 ; 10.0918 ; 3.1031 ; 0 ; 0
518345408 ; 10.1162 ; 3.10318 ; 0 ; 0
518530408 ; 10.1296 ; 3.10326 ; 0 ; 0
518742408 ; 19.9946 ; 3.10555 ; 0 ; 0
518929408 ; 20.0604 ; 3.10585 ; 0 ; 0
519106408 ; 20.0993 ; 3.10593 ; 0 ; 0
519328408 ; 20.1212 ; 3.10608 ; 0 ; 0
519547408 ; 20.1419 ; 3.1076 ; 0 ; 0
519731408 ; 20.1797 ; 3.10722 ; 0 ; 0
519923408 ; 0.0422395 ; 3.10181 ; 0 ; 0
520152408 ; 0.0405992 ; 3.10173 ; 0 ; 0
520325408 ; 0.0386498 ; 3.10249 ; 0 ; 0
520500408 ; 0.0394357 ; 3.10173 ; 0 ; 0
520695408 ; 0.0471643 ; 3.1015 ; 0 ; 0
520913408 ; 0.0384896 ; 3.10173 ; 0 ; 0
521089408 ; 0.0438684 ; 3.10181 ; 0 ; 0
521283408 ; 66.4455 ; 3.11462 ; 0 ; 0
521505408 ; 75.4692 ; 3.11516 ; 0 ; 0
521727408 ; 75.6507 ; 3.11546 ; 0 ; 0
521876408 ; 75.7395 ; 3.11615 ; 0 ; 0
522089408 ; 75.8917 ; 3.11569 ; 0 ; 0
522260408 ; 75.9392 ; 3.11569 ; 0 ; 0
522453408 ; 76.0183 ; 3.11577 ; 0 ; 0
522668408 ; 76.1206 ; 3.11539 ; 0 ; 0
522872408 ; 76.2022 ; 3.11562 ; 0 ; 0
523047408 ; 76.2606 ; 3.11569 ; 0 ; 0
523219408 ; 76.3032 ; 3.11646 ; 0 ; 0
523400408 ; 0.041919 ; 3.10265 ; 0 ; 0
523624408 ; 0.0403665 ; 3.10226 ; 0 ; 0
523790408 ; 0.0436662 ; 3.10219 ; 0 ; 0
523992408 ; 0.0416863 ; 3.10402 ; 0 ; 0
524207408 ; 0.0478242 ; 3.10204 ; 0 ; 0
524398408 ; 0.04441 ; 3.10188 ; 0 ; 0
524588408 ; 0.0381959 ; 3.10173 ; 0 ; 0
524822408 ; 0.0437158 ; 3.10173 ; 0 ; 0
525087408 ; 0.0405038 ; 3.10165 ; 0 ; 0
525277408 ; 0.0439904 ; 3.10165 ; 0 ; 0
525514408 ; 0.0441049 ; 3.10127 ; 0 ; 0
525705408 ; 0.0405763 ; 3.10158 ; 0 ; 0
525889408 ; 0.0421556 ; 3.10204 ; 0 ; 0
